IMPACTREE STANDARD QUESTIONNAIRE,,,,,,,,,,,,,,,,
A unified sustainability disclosure framework integrating BRSR · CDP · EcoVadis · GRI  |  Version 1.0  |  © Impactree,,,,,,,,,,,,,,,,
Standard Coverage Legend:  🟢 All 4 standards  |  🟡 3 standards  |  🟠 2 standards  |  🔵 1 standard  |  ⚪ No source mapping (reserved indicator),,,,,,,,,,,,,,,,
Impactree ID,Module,Indicator,Impactree Question,Response Format,Metric / Unit,Reporting Period,Guidance Note,BRSR,CDP,"Eco
Vadis",GRI,"Standards
Covered",BRSR IDs,CDP IDs,EcoVadis IDs,GRI IDs
  M01  ·  GENERAL & ORGANIZATIONAL PROFILE,,,,,,,,,,,,,,,,
IMP-M01-I01,General & Organizational Profile,Company Identity & Registration,"Provide your company's full legal name, corporate identity number (CIN), year of incorporation, registered address, corporate address, email, telephone, and website.",Data Table,Text / Alphanumeric,As at reporting date,"Provide the company's full legal name, CIN/registration number, year of incorporation, registered office address, corporate address, official email, telephone, and company website.",✓,—,—,✓,2,BRSR-1 | BRSR-2 | BRSR-3 | BRSR-4 | BRSR-5 | BRSR-10 | BRSR-11 | BRSR-12 | BRSR-1 | BRSR-2 | BRSR-4 | BRSR-5 | BRSR-6 | BRSR-1 | BRSR-2 | BRSR-3 | BRSR-4 | BRSR-5 | BRSR-6,,,GRI-2-1a | GRI-2-1b | GRI-2-1c | GRI-2-1d
IMP-M01-I02,General & Organizational Profile,Business Activities & Products,"Describe your company's main business activities and products/services sold, including their NIC codes and percentage contribution to total turnover.",Data Table,% of Turnover; NIC Code,Current FY,List all main business activities and products/services that together account for at least 90% of total turnover. Include NIC codes and individual turnover contribution percentages.,✓,✓,—,✓,3,BRSR-14 | BRSR-15,CDP-1.5 | CDP-1.6,,GRI-2-6a | GRI-2-6b | GRI-2-6i | GRI-2-6c | GRI-2-6d
IMP-M01-I03,General & Organizational Profile,Operational Footprint,"Report the number and locations of your plants, offices, and operations (national and international), and the markets served.",Data Table,Number of locations; Number of countries/states,As at end of reporting period,"Report the count of plants, offices, and operations by location type (national/international). Include markets served and the contribution of exports as a percentage of total turnover.",✓,✓,—,—,2,BRSR-16 | BRSR-17,CDP-1.3 | CDP-1.7 | CDP-1.13,,
IMP-M01-I04,General & Organizational Profile,Reporting Scope & Boundary,"State the financial year for which you are reporting, your reporting boundary (standalone or consolidated), and the stock exchanges on which your shares are listed.",Narrative,Text,Current reporting year,"State the financial year being reported, whether reporting is on a standalone or consolidated basis, the rationale for the chosen boundary, and the stock exchanges where shares are listed.",✓,✓,—,✓,3,BRSR-9 | BRSR-13,CDP-1.1 | CDP-1.2 | CDP-1.4 | CDP-13.3 | CDP-13.4,,GRI-2-2a | GRI-2-2b | GRI-2-2c | GRI-2-2i | GRI-2-3a | GRI-2-3b | GRI-2-3c | GRI-2-3d
IMP-M01-I05,General & Organizational Profile,Subsidiaries & Joint Ventures,"List all holding, subsidiary, associate companies, and joint ventures, including ownership percentage and participation in sustainability initiatives.",Data Table,% shares held,As at end of reporting period,"List all holding, subsidiary, associate companies, and joint ventures. For each, indicate the relationship type, percentage of shares held, and whether they participate in the company's sustainability initiatives.",✓,✓,—,—,2,BRSR-21,CDP-1.8 | CDP-1.8.1,,
IMP-M01-I06,General & Organizational Profile,Stakeholder Identification & Engagement,"Identify your key stakeholder groups, describe how you engage with them (channels, frequency, topics discussed), and explain how their input influences your business decisions.",Data Table + Narrative,Frequency; Number of engagements,Current FY,"Identify all key stakeholder groups (including vulnerable/marginalized groups). For each, describe communication channels used, frequency of engagement, and key topics or concerns raised and how they were addressed.",✓,✓,—,✓,3,BRSR-1 | BRSR-2 | BRSR-1 | BRSR-2 | BRSR-3,CDP-1.21 | CDP-1.22,,GRI-2-28a | GRI-2-29a | GRI-2-29i | GRI-2-30a | GRI-2-30b
IMP-M01-I07,General & Organizational Profile,Value Chain Mapping,"Has your organization mapped its value chain, including upstream supply chain commodities and downstream product flows? If so, describe the scope and methodology.",Yes / No + Description,Text,As at reporting date,"State whether a formal value chain mapping exercise has been conducted. If yes, describe the scope (upstream/downstream), commodities mapped, and methodology used.",—,✓,—,—,1,,CDP-1.24,,
  M02  ·  SUSTAINABILITY MANAGEMENT & REPORTING,,,,,,,,,,,,,,,,
IMP-M02-I01,Sustainability Management & Reporting,Sustainability Policies & Commitments,"Does your organization have sustainability policies in place? If yes, describe the policies, whether they are board-approved, and provide web links where available.",Multiple + Description,Text; Web URL,As at reporting date,"For each sustainability principle or ESG pillar, confirm whether a policy exists, whether it has board approval, and provide the web link. State whether policies extend to value chain partners.",✓,✓,✓,✓,4,BRSR-1 | BRSR-2 | BRSR-12,CDP-4.7 | CDP-4.7.1 | CDP-4.7.2 | CDP-4.8 | CDP-4.8.1,EV-ENV200,GRI-2-18a | GRI-2-18b | GRI-2-18c | GRI-2-22a | GRI-2-23a | GRI-2-23i | GRI-2-23b | GRI-2-23c | GRI-2-23d | GRI-2-23e | GRI-2-23f | GRI-2-24a | GRI-2-24i
IMP-M02-I02,Sustainability Management & Reporting,"Goals, Targets & Performance Tracking","What specific sustainability commitments, goals, and targets has your organization set, with defined timelines? Report on performance against these targets and reasons for any shortfalls.",Data Table + Narrative,Target value; % achievement,Current FY vs. target year,"List specific sustainability goals and targets with defined timelines. For each, report current performance against the target and reasons for any shortfall.",✓,✓,—,✓,3,BRSR-5 | BRSR-6 | BRSR-10,CDP-5.1 | CDP-5.1.1 | CDP-5.1.2 | CDP-5.2 | CDP-5.15 | CDP-5.15.1,,GRI-2-19a | GRI-2-19i | GRI-2-19v | GRI-2-19b | GRI-2-20a | GRI-2-20i | GRI-2-20b | GRI-2-21a | GRI-2-21b | GRI-2-21c
IMP-M02-I03,Sustainability Management & Reporting,Certifications & Standards Adopted,"List all external certifications, standards, and labels adopted by your organization (e.g., ISO 14001, ISO 50001, SA 8000, OHSAS) and the principles they are mapped to.",Data Table,Certification name; Issuing body,As at reporting date,"List all active external certifications (e.g., ISO 14001, ISO 50001, SA 8000, OHSAS). For each, specify the issuing body, scope of certification, and the sustainability principle it relates to.",✓,—,✓,—,2,BRSR-4,,EV-GEN701,
