"RAW EXTRACTION LOG  —  All 1,195 questions extracted from BRSR, CDP, EcoVadis & GRI",,,,,
Row ID,Source Standard,Module / Section,Question ID,Indicator Type,Question Text
1,BRSR,Section A: General Disclosures,BRSR-1,Disclosure,Corporate Identity Number (CIN) of the Listed Entity
2,BRSR,Section A: General Disclosures,BRSR-2,Disclosure,Name of the Listed Entity
3,BRSR,Section A: General Disclosures,BRSR-3,Disclosure,Year of incorporation
4,BRSR,Section A: General Disclosures,BRSR-4,Disclosure,Registered office address
5,BRSR,Section A: General Disclosures,BRSR-5,Disclosure,Corporate address
6,BRSR,Section A: General Disclosures,BRSR-9,Disclosure,Financial year for which reporting is being done
7,BRSR,Section A: General Disclosures,BRSR-10,Disclosure,Name of the Stock Exchange(s) where shares are listed
8,BRSR,Section A: General Disclosures,BRSR-11,Disclosure,Paid-up Capital
9,BRSR,Section A: General Disclosures,BRSR-12,Disclosure,"Name and contact details (telephone, email address) of the person who may be"
10,BRSR,Section A: General Disclosures,BRSR-13,Disclosure,Reporting boundary - Are the disclosures under this report made on a standalone basis
11,BRSR,Section A: General Disclosures,BRSR-14,Disclosure,Details of business activities (accounting for 90% of the turnover):
12,BRSR,Section A: General Disclosures,BRSR-15,Disclosure,Products/Services sold by the entity (accounting for 90% of the entity’s Turnover):
13,BRSR,Section A: General Disclosures,BRSR-16,Disclosure,Number of locations where plants and/or operations/offices of the entity are situated:
14,BRSR,Section A: General Disclosures,BRSR-17,Disclosure,Markets served by the entity:
15,BRSR,Section A: General Disclosures,BRSR-18,Disclosure,Details as at the end of Financial Year:
16,BRSR,Section A: General Disclosures,BRSR-1,Disclosure,Permanent (D)
17,BRSR,Section A: General Disclosures,BRSR-2,Disclosure,Other than
18,BRSR,Section A: General Disclosures,BRSR-4,Disclosure,Permanent (F)
19,BRSR,Section A: General Disclosures,BRSR-5,Disclosure,Other than
20,BRSR,Section A: General Disclosures,BRSR-6,Disclosure,Total workers
21,BRSR,Section A: General Disclosures,BRSR-1,Disclosure,Permanent (D)
22,BRSR,Section A: General Disclosures,BRSR-2,Disclosure,Other than
23,BRSR,Section A: General Disclosures,BRSR-3,Disclosure,Total differently
24,BRSR,Section A: General Disclosures,BRSR-4,Disclosure,Permanent (F)
25,BRSR,Section A: General Disclosures,BRSR-5,Disclosure,Other than
26,BRSR,Section A: General Disclosures,BRSR-6,Disclosure,Total differently
27,BRSR,Section A: General Disclosures,BRSR-19,Disclosure,Participation/Inclusion/Representation of women
28,BRSR,Section A: General Disclosures,BRSR-20,Disclosure,Turnover rate for permanent employees and workers
29,BRSR,Section A: General Disclosures,BRSR-21,Disclosure,(a) Names of holding / subsidiary / associate companies / joint ventures
30,BRSR,Section A: General Disclosures,BRSR-22,Disclosure,"(i) Whether CSR is applicable as per section 135 of Companies Act, 2013: (Yes/No)"
31,BRSR,Section A: General Disclosures,BRSR-23,Disclosure,Complaints/Grievances on any of the principles (Principles 1 to 9) under the National
32,BRSR,Section A: General Disclosures,BRSR-24,Disclosure,Overview of the entity’s material responsible business conduct issues
33,BRSR,Section B: Management & Process Disclosures,BRSR-1,Disclosure,a. Whether your entity’s policy/policies
34,BRSR,Section B: Management & Process Disclosures,BRSR-2,Disclosure,Whether the entity has translated the
35,BRSR,Section B: Management & Process Disclosures,BRSR-3,Disclosure,Do the enlisted policies extend to your
36,BRSR,Section B: Management & Process Disclosures,BRSR-4,Disclosure,Name of the national and international
37,BRSR,Section B: Management & Process Disclosures,BRSR-5,Disclosure,"Specific commitments, goals and targets"
38,BRSR,Section B: Management & Process Disclosures,BRSR-6,Disclosure,Performance of the entity against the
39,BRSR,Section B: Management & Process Disclosures,BRSR-7,Disclosure,"Statement by director responsible for the business responsibility report, highlighting ESG"
40,BRSR,Section B: Management & Process Disclosures,BRSR-8,Disclosure,Details of the highest authority responsible
41,BRSR,Section B: Management & Process Disclosures,BRSR-9,Disclosure,Does the entity have a specified
42,BRSR,Section B: Management & Process Disclosures,BRSR-10,Disclosure,Details of Review of NGRBCs by the Company:
43,BRSR,Section B: Management & Process Disclosures,BRSR-11,Disclosure,Has the entity carried out independent P P P P P P P P P
44,BRSR,Section B: Management & Process Disclosures,BRSR-12,Disclosure,"If answer to question (1) above is “No” i.e. not all Principles are covered by a policy,"
45,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-1,Essential,Percentage coverage by training and awareness programmes on any of the Principles
46,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-2,Essential,Details of fines / penalties /punishment/ award/ compounding fees/ settlement amount
